id,code,name,start_date
waybill_producto_stcc_250,27,Impresos,2021-06-01
waybill_producto_stcc_251,271,Periodicos,2021-06-01
waybill_producto_stcc_252,272,Publicaciones periodicas,2021-06-01
waybill_producto_stcc_253,273,Libros,2021-06-01
waybill_producto_stcc_254,274,Material impreso miscelaneo,2021-06-01
waybill_producto_stcc_255,276,Formularios comerciales multiples,2021-06-01
waybill_producto_stcc_256,277,"Tarjetas de felicitacion, sellos, etiquetas.",2021-06-01
waybill_producto_stcc_257,278,"Libros en blanco, carpetas de hojas sueltas",2021-06-01
waybill_producto_stcc_258,279,Productos de industrias de servicios,2021-06-01
waybill_producto_stcc_259,28,Quimicos,2021-06-01
waybill_producto_stcc_260,281,"Productos quimicos industriales, org / inorg",2021-06-01
waybill_producto_stcc_261,2812,"Sodio, ptsm y otros quimicos inorganicos",2021-06-01
waybill_producto_stcc_262,28123,"Sodio cpd, exc alcalinos",2021-06-01
waybill_producto_stcc_263,2813,Gases industriales comprimidos,2021-06-01
waybill_producto_stcc_264,2814,Prd crudo de alquitran de carbon,2021-06-01
waybill_producto_stcc_265,2816,Pigmentos inorganicos,2021-06-01
waybill_producto_stcc_266,2818,Sustancias quimicas organicas diversas,2021-06-01
waybill_producto_stcc_267,28184,Alcoholes,2021-06-01
waybill_producto_stcc_268,2819,Varios productos quimicos de inorg industriales,2021-06-01
waybill_producto_stcc_269,28193,acido sulfurico,2021-06-01
waybill_producto_stcc_270,282,Plasticos y resinas sinteticas,2021-06-01
waybill_producto_stcc_271,28212,Caucho sintetico,2021-06-01
waybill_producto_stcc_272,28213,Fibras sinteticas,2021-06-01
waybill_producto_stcc_273,283,Medicamentos y farmaceuticos prd,2021-06-01
waybill_producto_stcc_274,284,Preparaciones de limpieza y jabon,2021-06-01
waybill_producto_stcc_275,2841,Jabon y otros detergentes,2021-06-01
waybill_producto_stcc_276,285,"Pinturas, barnices y lacas",2021-06-01
waybill_producto_stcc_277,286,Productos quimicos de goma y madera,2021-06-01
waybill_producto_stcc_278,287,Quimicos agriculturales,2021-06-01
waybill_producto_stcc_279,2871,Fertilizantes,2021-06-01
waybill_producto_stcc_280,289,Productos quimicos miscelaneos,2021-06-01
waybill_producto_stcc_281,2892,Explosivos,2021-06-01
waybill_producto_stcc_282,28991,Sal comun,2021-06-01
waybill_producto_stcc_283,29,Productos de petroleo y carbon,2021-06-01
waybill_producto_stcc_284,291,Productos de refino de petroleo,2021-06-01
waybill_producto_stcc_285,29111,"Gasolina, combustible para aviones, etc.",2021-06-01
waybill_producto_stcc_286,29112,Queroseno,2021-06-01
waybill_producto_stcc_287,29113,Aceite combustible destilado,2021-06-01
waybill_producto_stcc_288,29114,Aceites lubricantes y similares,2021-06-01
waybill_producto_stcc_289,29115,Grasas lubricantes,2021-06-01
waybill_producto_stcc_290,29116,"Asfalto, alquitran y brea",2021-06-01
waybill_producto_stcc_291,29117,Aceite combustible residual,2021-06-01
waybill_producto_stcc_292,29119,"Prd de refino de gasolina, nec",2021-06-01
waybill_producto_stcc_293,2912,Gases licuados del petroleo,2021-06-01
waybill_producto_stcc_294,295,Materiales de pavimentacion y techado,2021-06-01
waybill_producto_stcc_295,2951,Bloques y mezclas de pavimento de asfalto,2021-06-01
waybill_producto_stcc_296,2952,Fieltro y revestimientos asfalticos,2021-06-01
waybill_producto_stcc_297,299,Varios petroleo y carbon,2021-06-01
waybill_producto_stcc_298,29911,Briquetas de carbon y coque,2021-06-01
waybill_producto_stcc_299,29913,Coque de gasolina sin briquetas,2021-06-01
