id,code,name,between,stop_to,grant_receive,concessionaire,start_date
waybill_codigo_derecho_paso_14,CDP015,N-1,Topo Grande (Km. M-528+000),Patio Monterrey Carga -Cerro La Silla (Km. M-500+000),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_15,CDP016,N-10,Buenavista (Km. Juarez 1+000 / Morelos 1+000),Lecheria (Km. Juarez 24+000 / Morelos 24+000),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_16,CDP017,N-10,Buenavista (Km. Juarez-1+000 = Morelos-1+000),Lecheria (Km. Juarez-24+000 = Morelos 24+000),Recibe," Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_17,CDP018,N-11,Buenavista (Km. Juarez 1+000 / Morelos 1+000),Cortavia Juarez-45+712 = Morelos-45+712,Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_18,CDP019,N-11,Buenavista (Km. Juarez-1+100 / Morelos-1+100),Cortavia Juarez-45+712 = Morelos -45+712,Recibe,"Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_19,CDP020,N-12,Tramos que se requieran para que los trenes uti.icen el patio de San Lorenzo,Patio de San Lorenzo,Otorga,Via Ferrea del sur,2021-06-01
waybill_codigo_derecho_paso_20,CDP021,N-12,Tramos que se requieran para que los trenes uti.icen el patio de San Lorenzo,Patio de San Lorenzo,Otorga,Via Ferrea de Hidalgo,2021-06-01
waybill_codigo_derecho_paso_21,CDP022,N-13,Lecheria (Juarez -19+415 = Morelos-19+549),Buenavista (Km. Juarez-1+000 = Morelos-1+000),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_22,CDP023,N-14,Buenavista (Km. Juarez 1+000 = Morelos-1+000),Terminal de Valle de Mexico  (Km. Juarez-10+470 = Morelos-10+596),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_23,CDP024,N-15,Kms. V-217+026 = VB-189+027,V-219+100,Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_24,CDP025,N-15,Kms. V-217+026 = VB-189+027,Km. V-219+100,Recibe," Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_25,CDP026,N-17,San Juan del Rio (Km. AL -0+000),San Nicolas (Km. AL-11+245 = B-213+000),Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_26,CDP027,N-17,San Juan del Rio (Km. AL -0+000),San Nicolas (Km. AL-11+245 = B-213+000),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_27,CDP028,N-18,La Griega (Km. B-251+535 = Morelos 227+438) ,Huehuetoca (Km. Juarez -43+724 / Morelos -43+724),Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_28,CDP029,N-18,La Griega (Km. B-251+535 = Morelos 227+438) ,Huehuetoca (Km. Juarez -43+724 / Morelos -43+724),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_29,CDP030,N-2,Apodaca (Km. F-17+000),Conexion  Distrito Matamoros (Km. F-0+000 = B-1029+026 ) - Km. B-1027+080,Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_30,CDP031,N-2,Apodaca (Km. F-17+000),Conexion Distrito Matamoros (Km. F-0+000 = B1029+026) -kilometro  B-1027+080,Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_31,CDP032,N-20,Santa Fe (v-454+600),Jalapa (V-338+600),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
