"id","code","name","class_div","danger_sec","start_date"
"waybill_materiales_peligrosos_194","0328","CARTUCHOS PARA ARMAS, CON PROYECTIL INERTE","1.2C",,2021-12-01
"waybill_materiales_peligrosos_195","0329","TORPEDOS con carga explosiva","1.1E",,2021-12-01
"waybill_materiales_peligrosos_196","0330","TORPEDOS con carga explosiva","1.1F",,2021-12-01
"waybill_materiales_peligrosos_197","0331","EXPLOSIVOS PARA VOLADURAS, TIPO B","1.5D",,2021-12-01
"waybill_materiales_peligrosos_198","0332","EXPLOSIVOS PARA VOLADURAS, TIPO E","1.5D",,2021-12-01
"waybill_materiales_peligrosos_199","0333","ARTIFICIOS DE PIROTECNIA","1.1G",,2021-12-01
"waybill_materiales_peligrosos_200","0334","ARTIFICIOS DE PIROTECNIA","1.2G",,2021-12-01
"waybill_materiales_peligrosos_201","0335","ARTIFICIOS DE PIROTECNIA","1.3G",,2021-12-01
"waybill_materiales_peligrosos_202","0336","ARTIFICIOS DE PIROTECNIA","1.4G",,2021-12-01
"waybill_materiales_peligrosos_203","0337","ARTIFICIOS DE PIROTECNIA","1.4S",,2021-12-01
"waybill_materiales_peligrosos_204","0338","CARTUCHOS PARA ARMAS, SIN BALA, o (CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE, SIN BALA)","1.4C",,2021-12-01
"waybill_materiales_peligrosos_205","0339","CARTUCHOS PARA ARMAS, CON PROYECTIL INERTE, o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE","1.4C",,2021-12-01
"waybill_materiales_peligrosos_206","0340","NITROCELULOSA seca o humedecida con menos de 25%, en masa, de agua (o de alcohol)","1.1D",,2021-12-01
"waybill_materiales_peligrosos_207","0341","NITROCELULOSA sin modificar o plastificada con menos de 18%, en masa, de substancia plastificante","1.1D",,2021-12-01
"waybill_materiales_peligrosos_208","0342","NITROCELULOSA HUMEDECIDA con un mínimo de 25%, en masa, de alcohol","1.3C",,2021-12-01
"waybill_materiales_peligrosos_209","0343","NITROCELULOSA PLASTIFICADA con un mínimo de 18%, en masa, de substancia plastificante","1.3C",,2021-12-01
"waybill_materiales_peligrosos_210","0344","PROYECTILES con carga explosiva","1.4D",,2021-12-01
"waybill_materiales_peligrosos_211","0345","PROYECTILES inertes con trazador","1.4S",,2021-12-01
"waybill_materiales_peligrosos_212","0346","PROYECTILES con carga detonante o carga expulsora","1.2D",,2021-12-01
"waybill_materiales_peligrosos_213","0347","PROYECTILES con carga detonante o carga expulsora","1.4D",,2021-12-01
"waybill_materiales_peligrosos_214","0348","CARTUCHOS PARA ARMAS, con carga explosiva","1.4F",,2021-12-01
"waybill_materiales_peligrosos_215","0349","OBJETOS EXPLOSIVOS. N.E.P.","1.4S",,2021-12-01
"waybill_materiales_peligrosos_216","0350","OBJETOS EXPLOSIVOS. N.E.P.","1.4B",,2021-12-01
"waybill_materiales_peligrosos_217","0351","OBJETOS EXPLOSIVOS. N.E.P.","1.4C",,2021-12-01
"waybill_materiales_peligrosos_218","0352","OBJETOS EXPLOSIVOS. N.E.P.","1.4D",,2021-12-01
"waybill_materiales_peligrosos_219","0353","OBJETOS EXPLOSIVOS. N.E.P.","1.4G",,2021-12-01
"waybill_materiales_peligrosos_220","0354","OBJETOS EXPLOSIVOS. N.E.P.","1.1L",,2021-12-01
"waybill_materiales_peligrosos_221","0355","OBJETOS EXPLOSIVOS. N.E.P.","1.2L",,2021-12-01
