id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_160,03,EA041,Deputado Luis Eduardo Magalhaes,Brasil,SSA,,2021-06-01
waybill_complemento_estacion_161,03,EA042,Viracopos-Campinas,Brasil,VCP,,2021-06-01
waybill_complemento_estacion_162,03,EA043,Gladman Point,Canada,CYUR,,2021-06-01
waybill_complemento_estacion_163,03,EA044,Sault Ste. Marie,Canada,YAM,,2021-06-01
waybill_complemento_estacion_164,03,EA045,Canadian Forces Base Shearwater,Canada,YAW,,2021-06-01
waybill_complemento_estacion_165,03,EA046,Canadian Forces Base Bagotville,Canada,YBG,,2021-06-01
waybill_complemento_estacion_166,03,EA047,Brandon Municipal,Canada,YBR,,2021-06-01
waybill_complemento_estacion_167,03,EA048,Edmonton,Canada,YEG,,2021-06-01
waybill_complemento_estacion_168,03,EA049,Fredericton,Canada,YFC,,2021-06-01
waybill_complemento_estacion_169,03,EA050,John C. Munro,Canada,YHM,,2021-06-01
waybill_complemento_estacion_170,03,EA051,Robert L. Stanfield,Canada,YHZ,,2021-06-01
waybill_complemento_estacion_171,03,EA052,Region Of Waterloo,Canada,YKF,,2021-06-01
waybill_complemento_estacion_172,03,EA053,Kelowna,Canada,YLW,,2021-06-01
waybill_complemento_estacion_173,03,EA054,Mary's Harbour,Canada,YMH,,2021-06-01
waybill_complemento_estacion_174,03,EA055,Fort Mcmurray,Canada,YMM,,2021-06-01
waybill_complemento_estacion_175,03,EA056,Montreal-Mirabel,Canada,YMX,,2021-06-01
waybill_complemento_estacion_176,03,EA057,Macdonald-Cartier,Canada,YOW,,2021-06-01
waybill_complemento_estacion_177,03,EA058,Jean Lesage,Canada,YQB,,2021-06-01
waybill_complemento_estacion_178,03,EA059,Windsor,Canada,YQG,,2021-06-01
waybill_complemento_estacion_179,03,EA060,Lethbridge County,Canada,YQL,,2021-06-01
waybill_complemento_estacion_180,03,EA061,Greater Moncton,Canada,YQM,,2021-06-01
waybill_complemento_estacion_181,03,EA062,Canadian Forces Base Comox,Canada,YQQ,,2021-06-01
waybill_complemento_estacion_182,03,EA063,Regina,Canada,YQR,,2021-06-01
waybill_complemento_estacion_183,03,EA064,Thunder Bay,Canada,YQT,,2021-06-01
waybill_complemento_estacion_184,03,EA065,Gander,Canada,YQX,,2021-06-01
waybill_complemento_estacion_185,03,EA066,Sudbury,Canada,YSB,,2021-06-01
waybill_complemento_estacion_186,03,EA067,Saint John,Canada,YSJ,,2021-06-01
waybill_complemento_estacion_187,03,EA068,Billy Bishop,Canada,YTZ,,2021-06-01
waybill_complemento_estacion_188,03,EA069,Pierre Elliott Trudeau,Canada,YUL,,2021-06-01
waybill_complemento_estacion_189,03,EA070,Rouyn-Noranda,Canada,YUY,,2021-06-01
waybill_complemento_estacion_190,03,EA071,Vancouver,Canada,YVR,,2021-06-01
waybill_complemento_estacion_191,03,EA072,James Armstrong Richardson,Canada,YWG,,2021-06-01
waybill_complemento_estacion_192,03,EA073,John G. Diefenbaker,Canada,YXE,,2021-06-01
waybill_complemento_estacion_193,03,EA074,Prince George,Canada,YXS,,2021-06-01
waybill_complemento_estacion_194,03,EA075,London,Canada,YXU,,2021-06-01
waybill_complemento_estacion_195,03,EA076,Abbotsford,Canada,YXX,,2021-06-01
waybill_complemento_estacion_196,03,EA077,Calgary,Canada,YYC,,2021-06-01
waybill_complemento_estacion_197,03,EA078,Victoria,Canada,YYJ,,2021-06-01
waybill_complemento_estacion_198,03,EA079,Canadian Forces Base Goose Bay,Canada,YYR,,2021-06-01
waybill_complemento_estacion_199,03,EA080,St. John's,Canada,YYT,,2021-06-01
waybill_complemento_estacion_200,03,EA081,Lester B. Pearson,Canada,YYZ,,2021-06-01
waybill_complemento_estacion_201,03,EA082,Andres Sabella,Chile,ANF,,2021-06-01
waybill_complemento_estacion_202,03,EA083,Carriel Sur,Chile,CCP,,2021-06-01
waybill_complemento_estacion_203,03,EA084,Diego Aracena,Chile,IQQ,,2021-06-01
waybill_complemento_estacion_204,03,EA085,Arturo Merino Benitez,Chile,SCL,,2021-06-01
waybill_complemento_estacion_205,03,EA086,Baiyun,China,CAN,,2021-06-01
waybill_complemento_estacion_206,03,EA087,Changle,China,FOC,,2021-06-01
waybill_complemento_estacion_207,03,EA088,Xiaoshan,China,HGH,,2021-06-01
waybill_complemento_estacion_208,03,EA089,Lishe,China,NGB,,2021-06-01
waybill_complemento_estacion_209,03,EA090,Nanjing Lukou,China,NKG,,2021-06-01
waybill_complemento_estacion_210,03,EA091,Capital,China,PEK,,2021-06-01
waybill_complemento_estacion_211,03,EA092,Pudong,China,PVG,,2021-06-01
waybill_complemento_estacion_212,03,EA093,Gaoqi,China,XMN,,2021-06-01
waybill_complemento_estacion_213,03,EA094,Gustavo Rojas Pinilla,Colombia,ADZ,,2021-06-01
waybill_complemento_estacion_214,03,EA095,Ernesto Cortissoz,Colombia,BAQ,,2021-06-01
waybill_complemento_estacion_215,03,EA096,El Nuevo Dorado,Colombia,BOG,,2021-06-01
waybill_complemento_estacion_216,03,EA097,Alfonso Bonilla Aragon,Colombia,CLO,,2021-06-01
waybill_complemento_estacion_217,03,EA098,Rafael Nu�ez,Colombia,CTG,,2021-06-01
waybill_complemento_estacion_218,03,EA099,Jose Maria Cordova,Colombia,MDE,,2021-06-01
waybill_complemento_estacion_219,03,EA100,Montelibano,Colombia,MTB,,2021-06-01
waybill_complemento_estacion_220,03,EA101,Daniel Oduber Quiros,Costa Rica,LIR,,2021-06-01
waybill_complemento_estacion_221,03,EA102,Juan Santamaria,Costa Rica,SJO,,2021-06-01
waybill_complemento_estacion_222,03,EA103,Jardines Del Rey,Cuba,CCC,,2021-06-01
waybill_complemento_estacion_223,03,EA104,Ignacio Agramonte,Cuba,CMW,,2021-06-01
waybill_complemento_estacion_224,03,EA105,Vilo Acu�a,Cuba,CYO,,2021-06-01
waybill_complemento_estacion_225,03,EA106,Jose Marti,Cuba,HAV,,2021-06-01
waybill_complemento_estacion_226,03,EA107,Frank Pais,Cuba,HOG,,2021-06-01
waybill_complemento_estacion_227,03,EA108,Antonio Maceo,Cuba,SCU,,2021-06-01
waybill_complemento_estacion_228,03,EA109,Abel Santamaria,Cuba,SNU,,2021-06-01
waybill_complemento_estacion_229,03,EA110,Juan Gualberto Gomez,Cuba,VRA,,2021-06-01
waybill_complemento_estacion_230,03,EA111,Aalborg,Dinamarca,AAL,,2021-06-01
waybill_complemento_estacion_231,03,EA112,Billund,Dinamarca,BLL,,2021-06-01
waybill_complemento_estacion_232,03,EA113,K�benhavn,Dinamarca,CPH,,2021-06-01
waybill_complemento_estacion_233,03,EA114,Mariscal Lamar,Ecuador,CUE,,2021-06-01
waybill_complemento_estacion_234,03,EA115,Jose Joaquin De Olmdeo,Ecuador,GYE,,2021-06-01
waybill_complemento_estacion_235,03,EA116,Eloy Alfaro,Ecuador,MEC,,2021-06-01
waybill_complemento_estacion_236,03,EA117,General Ulpiano Paez,Ecuador,SNC,,2021-06-01
waybill_complemento_estacion_237,03,EA118,Mitad Del Mundo,Ecuador,UIO,,2021-06-01
waybill_complemento_estacion_238,03,EA119,Monse�or Oscar Arnulfo Romero,El Salvador,SAL,,2021-06-01
waybill_complemento_estacion_239,03,EA120,Al Maktoum,Emiratos arabes Unidos,DWC,,2021-06-01
waybill_complemento_estacion_240,03,EA121,El Prat,Espa�a,BCN,,2021-06-01
waybill_complemento_estacion_241,03,EA122,Adolfo Suarez Madrid-Barajas,Espa�a,MAD,,2021-06-01
waybill_complemento_estacion_242,03,EA123,Son Sant Joan,Espa�a,PMI,,2021-06-01
waybill_complemento_estacion_243,03,EA124,Manises,Espa�a,VLC,,2021-06-01
waybill_complemento_estacion_244,03,EA125,Zaragoza,Espa�a,ZAZ,,2021-06-01
